year,month,day,user_login,taxonomy,genus,species,common_name
2016,01,23,luisquerido,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2015,07,05,luisquerido,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2015,07,05,luisquerido,Mammalia-Artiodactyla-Giraffidae,Giraffa,camelopardalis,Giraffe
2017,09,16,luisquerido,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2016,01,23,luisquerido,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2017,07,01,luisquerido,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2015,07,31,jadonald,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2015,04,28,joachim,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2015,04,27,joachim,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2015,07,10,john_barkla,Mammalia-Artiodactyla-Bovidae,Kobus,ellipsiprymnus,Common Waterbuck
2015,07,10,john_barkla,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2015,10,30,joachim,Mammalia-Artiodactyla-Bovidae,Ourebia,ourebi,Oribi
2015,10,30,joachim,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2015,10,30,joachim,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2015,09,21,seasav,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2015,09,22,seasav,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2011,08,22,joachim,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2011,08,22,joachim,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2015,06,20,intotheokavango,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2015,06,25,intotheokavango,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2015,06,20,intotheokavango,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2022,10,10,joachim,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2022,08,19,tonyrebelo,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2009,09,08,phiro,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2021,04,30,rogerioferreira,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2017,11,26,dougmacsafaris,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2019,05,22,pbeja65,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2018,02,10,rogerioferreira,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2018,01,27,rogerioferreira,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2017,10,24,pma,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2017,10,23,pma,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2017,10,22,pma,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2015,11,14,luisquerido,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2015,11,14,luisquerido,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2015,10,30,joachim,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
